Well No, Well Name, Spore Count (million), Alanine (mM), Medium Volume (uL), 
1, A1, 100, 0, 2800, 
2, A2, 100, 0, 2800, 
3, A3, 100, 0, 2800, 
4, A4, 100, 0, 2800, 
5, A5, 100, 0, 2800, 
6, A6, 100, 0, 2800, 

7, A7, 100, 1, 2800, 
8, A8, 100, 1, 2800, 
9, A9, 100, 1, 2800, 
10, A10, 100, 1, 2800, 
11, A11, 100, 1, 2800, 
12, A12, 100, 1, 2800, 

13, B1, 100, 0, 2800, 
14, B2, 100, 0, 2800, 
15, B3, 100, 0, 2800, 
16, B4, 100, 0, 2800, 
17, B5, 100, 0, 2800, 
18, B6, 100, 0, 2800, 

19, B7, 100, 1, 2800, 
20, B8, 100, 1, 2800, 
21, B9, 100, 1, 2800, 
22, B10, 100, 1, 2800, 
23, B11, 100, 1, 2800, 
24, B12, 100, 1, 2800,

25, C1, 10, 0, 2800, 
26, C2, 10, 0, 2800, 
27, C3, 10, 0, 2800, 
28, C4, 10, 0, 2800, 
29, C5, 10, 0, 2800, 
30, C6, 10, 0, 2800, 

31, C7, 10, 1, 2800, 
32, C8, 10, 1, 2800, 
33, C9, 10, 1, 2800, 
34, C10, 10, 1, 2800, 
35, C11, 10, 1, 2800, 
36, C12, 10, 1, 2800, 

37, D1, 10, 0, 2800, 
38, D2, 10, 0, 2800, 
39, D3, 10, 0, 2800, 
40, D4, 10, 0, 2800, 
41, D5, 10, 0, 2800, 
42, D6, 10, 0, 2800, 

43, D7, 10, 1, 2800, 
44, D8, 10, 1, 2800, 
45, D9, 10, 1, 2800, 
46, D10, 10, 1, 2800, 
47, D11, 10, 1, 2800, 
48, D12, 10, 1, 2800,

49, E1, 1, 0, 2800, 
50, E2, 1, 0, 2800, 
51, E3, 1, 0, 2800, 
52, E4, 1, 0, 2800, 
53, E5, 1, 0, 2800, 
54, E6, 1, 0, 2800, 

55, E7, 1, 1, 2800, 
56, E8, 1, 1, 2800, 
57, E9, 1, 1, 2800, 
58, E10, 1, 1, 2800, 
59, E11, 1, 1, 2800, 
60, E12, 1, 1, 2800, 

61, F1, 1, 0, 2800, 
62, F2, 1, 0, 2800, 
63, F3, 1, 0, 2800, 
64, F4, 1, 0, 2800, 
65, F5, 1, 0, 2800, 
66, F6, 1, 0, 2800, 

67, F7, 1, 1, 2800, 
68, F8, 1, 1, 2800, 
69, F9, 1, 1, 2800, 
70, F10, 1, 1, 2800, 
71, F11, 1, 1, 2800, 
72, F12, 1, 1, 2800,

73, G1, .1, 0, 2800, 
74, G2, .1, 0, 2800, 
75, G3, .1, 0, 2800, 
76, G4, .1, 0, 2800, 
77, G5, .1, 0, 2800, 
78, G6, .1, 0, 2800, 

79, G7, .1, 1, 2800, 
80, G8, .1, 1, 2800, 
81, G9, .1, 1, 2800, 
82, G10, .1, 1, 2800, 
83, G11, .1, 1, 2800, 
84, G12, .1, 1, 2800, 

85, H1, .1, 0, 2800, 
86, H2, .1, 0, 2800, 
87, H3, .1, 0, 2800, 
88, H4, .1, 0, 2800, 
89, H5, .1, 0, 2800, 
90, H6, .1, 0, 2800, 

91, H7, .1, 1, 2800, 
92, H8, .1, 1, 2800, 
93, H9, .1, 1, 2800, 
94, H10, .1, 1, 2800, 
95, H11, .1, 1, 2800, 
96, H12, .1, 1, 2800,

